Student ID,Age,Gender,Major,Year of Study,TOEFL Score,IELTS Score,Previous English Grade,Learning Style,Learning Mode,Learning Pace,Learning Time,Material Type,Hours/Week,Participation,Quiz Score,Engagement Level,Competency Level,Final Grade
ID_494,19.0,F,Biology,Junior,61.0,6.6,C,Reading/Writing,Online,Average,Afternoon,Text,7.0,Low,83.0,Low,Advanced,F
ID_128,20.0,M,Biology,Freshman,70.0,7.3,F,Auditory,Hybrid,Fast,Afternoon,Interactive,8.0,Low,80.0,High,Beginner,D
ID_33,18.0,F,Biology,Junior,81.0,7.1,A,Auditory,Hybrid,Fast,Afternoon,Text,6.0,High,73.0,High,Beginner,F
ID_439,23.0,F,Biology,Freshman,82.0,8.8,F,Visual,Hybrid,Slow,Evening,Text,10.0,Low,92.0,Medium,Advanced,C
ID_40,24.0,M,Chemistry,Sophomore,87.0,7.1,D,Kinesthetic,Online,Average,Evening,Text,14.0,Low,69.0,High,Advanced,B
ID_156,20.0,M,Biology,Junior,109.0,8.8,C,Reading/Writing,Hybrid,Average,Evening,Text,15.0,Low,57.0,Low,Advanced,B
ID_46,21.0,M,Chemistry,Junior,118.0,5.1,D,Kinesthetic,Online,Average,Morning,Text,10.0,High,80.0,Medium,Advanced,F
ID_93,21.0,F,Biology,Sophomore,105.0,6.4,F,Reading/Writing,Hybrid,Slow,Evening,Interactive,13.0,High,83.0,Low,Beginner,C
ID_189,20.0,F,Mathematics,Sophomore,68.0,7.2,C,Kinesthetic,In-person,Average,Evening,Interactive,17.0,High,69.0,Low,Beginner,B
ID_467,21.0,M,Mathematics,Senior,89.0,7.7,B,Reading/Writing,Hybrid,Fast,Morning,Text,12.0,Medium,58.0,Low,Intermediate,B
ID_78,18.0,M,Mathematics,Senior,74.0,6.9,F,Reading/Writing,Online,Fast,Morning,Text,14.0,High,68.0,High,Intermediate,A
ID_108,19.0,M,Literature,Freshman,81.0,5.4,B,Kinesthetic,In-person,Fast,Afternoon,Video,14.0,High,89.0,High,Advanced,F
ID_316,18.0,M,Chemistry,Junior,73.0,7.5,C,Visual,Online,Average,Morning,Interactive,8.0,High,73.0,High,Beginner,F
ID_188,24.0,M,Chemistry,Senior,65.0,8.7,D,Reading/Writing,Hybrid,Fast,Afternoon,Video,16.0,Low,99.0,Medium,Advanced,F
ID_254,18.0,F,Engineering,Junior,87.0,5.5,C,Reading/Writing,Online,Fast,Evening,Text,8.0,Medium,95.0,High,Advanced,B
ID_254,18.0,F,Engineering,Junior,87.0,5.5,C,Reading/Writing,Online,Fast,Evening,Text,8.0,Medium,95.0,High,Advanced,B
ID_232,18.0,M,Literature,Freshman,105.0,7.2,C,Visual,Online,Average,Evening,Interactive,18.0,Medium,67.0,Medium,Intermediate,F
ID_377,18.0,M,Biology,Sophomore,116.0,8.8,C,Kinesthetic,Hybrid,Fast,Afternoon,Interactive,17.0,Low,51.0,Low,Beginner,F
ID_324,24.0,M,Mathematics,Freshman,100.0,7.9,D,Auditory,Online,Slow,Evening,Interactive,17.0,High,55.0,High,Intermediate,A
ID_300,21.0,F,Chemistry,Junior,62.0,6.9,B,Kinesthetic,In-person,Slow,Afternoon,Video,11.0,Medium,86.0,Medium,Beginner,B
ID_71,21.0,M,Mathematics,Sophomore,119.0,5.7,B,Kinesthetic,Online,Average,Afternoon,Text,14.0,Medium,63.0,Medium,Beginner,B
ID_395,22.0,F,Literature,Junior,79.0,5.7,D,Auditory,Online,Average,Afternoon,Audio,17.0,Low,54.0,Medium,Beginner,B
ID_428,21.0,F,Engineering,Sophomore,116.0,7.9,A,Visual,In-person,Slow,Morning,Audio,13.0,Low,83.0,High,Advanced,D
ID_179,18.0,F,Chemistry,Freshman,93.0,5.5,B,Kinesthetic,Online,Fast,Morning,Audio,14.0,Medium,70.0,Low,Intermediate,B
ID_472,22.0,F,Engineering,Senior,67.0,5.3,A,Auditory,In-person,Slow,Afternoon,Interactive,10.0,High,69.0,Low,Advanced,A
ID_188,24.0,M,Chemistry,Senior,65.0,8.7,D,Reading/Writing,Hybrid,Fast,Afternoon,Video,16.0,Low,99.0,Medium,Advanced,F
ID_76,20.0,F,Mathematics,Sophomore,112.0,6.0,F,Reading/Writing,In-person,Average,Morning,Audio,13.0,High,82.0,Medium,Beginner,F
ID_21,23.0,M,Literature,Sophomore,98.0,6.6,A,Auditory,Hybrid,Fast,Evening,Video,6.0,High,92.0,Low,Intermediate,D
ID_55,18.0,F,Literature,Freshman,117.0,6.4,C,Auditory,Hybrid,Average,Evening,Text,15.0,High,69.0,Medium,Beginner,C
ID_453,18.0,M,Chemistry,Sophomore,88.0,7.8,D,Reading/Writing,Online,Slow,Evening,Audio,11.0,High,151.8396259011293,Medium,Advanced,C
ID_360,19.0,M,Biology,Sophomore,69.0,8.9,C,Reading/Writing,Hybrid,Fast,Evening,Interactive,19.0,Medium,66.0,Low,Beginner,D
ID_358,18.0,F,Chemistry,Senior,73.0,7.1,A,Visual,Hybrid,Slow,Evening,Text,16.0,High,76.0,High,Advanced,F
ID_362,19.0,M,Mathematics,Freshman,69.0,6.2,B,Kinesthetic,Online,Average,Morning,Audio,9.0,High,63.0,Medium,Advanced,A
ID_146,24.0,M,Literature,Freshman,74.0,6.3,D,Visual,Online,Average,Afternoon,Audio,19.0,Low,96.0,Low,Intermediate,A
ID_306,21.0,M,Chemistry,Freshman,92.0,8.8,C,Visual,Online,Fast,Evening,Audio,8.0,High,97.0,Medium,Beginner,D
ID_7,22.0,F,Engineering,Senior,110.0,6.3,A,Kinesthetic,Online,Slow,Afternoon,Text,9.0,Medium,89.0,Medium,Intermediate,F
ID_2,21.0,F,Biology,Sophomore,92.0,8.1,C,Auditory,In-person,Fast,Morning,Video,8.0,Low,57.0,Medium,Advanced,C
ID_271,22.0,M,Mathematics,Freshman,96.0,6.5,F,Kinesthetic,Hybrid,Average,Afternoon,Audio,6.0,Medium,97.0,Low,Advanced,A
ID_439,23.0,F,Biology,Freshman,82.0,8.8,F,Visual,Hybrid,Slow,Evening,Text,10.0,Low,92.0,Medium,Advanced,C
ID_443,19.0,M,Engineering,Junior,109.0,6.2,C,Kinesthetic,Hybrid,Slow,Morning,Interactive,13.0,Medium,64.0,High,Advanced,C
ID_239,24.0,M,Biology,Sophomore,114.0,7.6,A,Reading/Writing,In-person,Slow,Morning,Video,9.0,Low,62.0,Low,Intermediate,B
ID_57,19.0,F,Literature,Sophomore,97.0,6.9,B,Reading/Writing,Hybrid,Fast,Afternoon,Text,17.0,Medium,77.0,Low,Advanced,F
ID_155,18.0,F,Literature,Sophomore,91.0,7.2,C,Auditory,Hybrid,Average,Afternoon,Interactive,15.0,High,90.0,Medium,Beginner,F
ID_288,20.0,F,Literature,Freshman,61.0,8.2,C,Reading/Writing,Hybrid,Average,Afternoon,Text,10.0,High,76.0,Medium,Advanced,C
ID_190,22.0,F,Literature,Sophomore,65.0,6.2,A,Reading/Writing,Online,Fast,Morning,Audio,8.0,Medium,195.55496906249067,Low,Advanced,C
ID_326,19.0,M,Engineering,Senior,119.0,7.7,C,Reading/Writing,Hybrid,Slow,Afternoon,Audio,11.48980514726474,Medium,64.0,Low,Advanced,B
ID_40,24.0,M,Chemistry,Sophomore,87.0,7.1,D,Kinesthetic,Online,Average,Evening,Text,14.0,Low,69.0,High,Advanced,B
ID_232,18.0,M,Literature,Freshman,105.0,7.2,C,Visual,Online,Average,Evening,Interactive,18.0,Medium,67.0,Medium,Intermediate,F
ID_265,22.0,F,Mathematics,Sophomore,89.0,7.1,D,Kinesthetic,Hybrid,Average,Afternoon,Interactive,10.0,High,97.0,Low,Intermediate,A
ID_20,21.0,M,Engineering,Junior,100.0,7.8,D,Visual,In-person,Slow,Morning,Video,17.0,High,62.0,Low,Intermediate,D
ID_404,20.0,F,Chemistry,Senior,60.0,5.9,F,Reading/Writing,Hybrid,Fast,Afternoon,Audio,10.0,Medium,83.0,Low,Advanced,F
ID_94,19.0,F,Engineering,Freshman,74.0,5.9,D,Reading/Writing,Hybrid,Fast,Morning,Video,7.0,Low,78.0,Medium,Advanced,B
ID_344,21.0,F,Engineering,Junior,64.0,8.1,C,Kinesthetic,In-person,Average,Evening,Text,5.0,High,83.0,High,Advanced,A
ID_166,23.0,F,Biology,Junior,72.0,8.2,F,Kinesthetic,Hybrid,Slow,Morning,Video,16.0,Medium,62.0,Low,Advanced,D
ID_363,19.0,F,Literature,Senior,71.0,8.9,A,Visual,Online,Slow,Afternoon,Video,29.86596439036023,High,74.0,Low,Advanced,C
ID_351,23.0,M,Biology,Senior,82.0,7.5,C,Visual,In-person,Fast,Evening,Audio,19.0,High,56.0,Low,Beginner,B
ID_124,18.0,F,Biology,Senior,106.0,9.0,B,Kinesthetic,In-person,Slow,Evening,Audio,17.0,Medium,79.0,Medium,Advanced,C
ID_341,20.0,M,Literature,Senior,61.0,5.7,A,Auditory,Hybrid,Average,Evening,Interactive,19.0,Low,98.0,High,Advanced,F
ID_28,19.0,F,Literature,Senior,91.0,7.7,B,Kinesthetic,Online,Slow,Evening,Audio,15.0,Medium,72.0,Low,Beginner,D
ID_244,18.0,M,Biology,Freshman,65.0,5.2,A,Reading/Writing,In-person,Average,Afternoon,Audio,19.0,High,85.0,Low,Beginner,A
ID_4,24.0,F,Chemistry,Freshman,106.0,8.0,C,Kinesthetic,Online,Slow,Evening,Text,10.0,Medium,71.0,Low,Advanced,A
ID_124,18.0,F,Biology,Senior,106.0,9.0,B,Kinesthetic,In-person,Slow,Evening,Audio,17.0,Medium,79.0,Medium,Advanced,C
ID_210,23.0,M,Mathematics,Freshman,65.0,6.6,D,Visual,Hybrid,Fast,Evening,Text,17.0,High,65.0,Medium,Intermediate,D
ID_50,20.0,F,Engineering,Senior,116.0,8.6,F,Reading/Writing,Online,Fast,Morning,Interactive,9.0,High,97.0,Medium,Advanced,B
ID_141,24.0,M,Biology,Senior,76.0,5.9,B,Auditory,Online,Average,Afternoon,Text,13.0,High,54.0,Medium,Beginner,C
ID_266,18.0,M,Literature,Senior,80.0,6.7,A,Kinesthetic,Online,Slow,Morning,Audio,8.0,Medium,70.0,Medium,Intermediate,C
ID_345,23.0,M,Literature,Senior,60.0,6.1,B,Auditory,Online,Average,Evening,Text,15.0,Low,64.0,Medium,Beginner,B
ID_72,24.0,M,Engineering,Freshman,105.0,7.1,D,Reading/Writing,Online,Fast,Morning,Interactive,6.0,Low,51.0,Low,Beginner,D
ID_217,24.0,F,Engineering,Senior,101.0,5.5,F,Visual,In-person,Fast,Afternoon,Interactive,12.0,Low,84.0,Medium,Beginner,F
ID_217,24.0,F,Engineering,Senior,101.0,5.5,F,Visual,In-person,Fast,Afternoon,Interactive,12.0,Low,84.0,Medium,Beginner,F
ID_453,18.0,M,Chemistry,Sophomore,88.0,7.8,D,Reading/Writing,Online,Slow,Evening,Audio,11.0,High,56.0,Medium,Advanced,C
ID_471,21.0,M,Chemistry,Sophomore,85.0,7.0,D,Reading/Writing,Online,Fast,Morning,Video,8.0,High,55.0,High,Advanced,C
ID_351,23.0,M,Biology,Senior,82.0,7.5,C,Visual,In-person,Fast,Evening,Audio,19.0,High,56.0,Low,Beginner,B
ID_196,23.0,M,Engineering,Junior,109.0,7.0,F,Kinesthetic,Hybrid,Slow,Morning,Text,15.0,Medium,88.0,Low,Intermediate,A
ID_400,44.951389322742315,F,Engineering,Freshman,96.0,5.7,B,Auditory,In-person,Average,Evening,Text,5.0,Low,85.0,Medium,Intermediate,B
ID_82,19.0,F,Engineering,Sophomore,111.0,16.42561237906842,A,Kinesthetic,In-person,Slow,Morning,Text,15.0,High,94.0,Low,Intermediate,F
ID_150,20.0,F,Biology,Senior,87.0,7.6,C,Reading/Writing,Online,Slow,Afternoon,Text,7.0,Low,53.0,Medium,Beginner,C
ID_225,21.0,M,Biology,Junior,72.0,6.6,C,Auditory,Hybrid,Average,Afternoon,Video,10.0,Medium,68.0,Low,Beginner,F
ID_293,20.0,F,Literature,Junior,98.0,6.8,F,Visual,In-person,Slow,Evening,Text,8.0,High,72.0,High,Intermediate,C
ID_123,24.0,F,Chemistry,Junior,105.0,7.8,C,Auditory,Online,Average,Afternoon,Video,7.0,Medium,59.0,Low,Beginner,B
ID_11,24.0,F,Chemistry,Senior,85.0,8.2,F,Visual,Online,Slow,Morning,Interactive,8.0,Medium,50.0,Low,Advanced,A
ID_295,22.0,M,Chemistry,Sophomore,110.0,5.4,C,Visual,Hybrid,Average,Afternoon,Text,8.0,Low,60.0,Medium,Advanced,C
ID_182,21.0,M,Biology,Freshman,103.0,7.8,D,Reading/Writing,Hybrid,Slow,Evening,Video,16.0,Medium,63.0,High,Intermediate,A
ID_418,18.0,M,Biology,Sophomore,79.0,6.8,A,Auditory,Online,Fast,Morning,Text,14.0,Low,76.0,High,Beginner,B
ID_97,44.21446007416308,M,Biology,Junior,73.0,8.3,A,Auditory,Online,Average,Morning,Interactive,12.0,High,68.0,High,Beginner,F
ID_182,21.0,M,Biology,Freshman,103.0,7.8,D,Reading/Writing,Hybrid,Slow,Evening,Video,16.0,Medium,63.0,High,Intermediate,A
ID_13,20.0,M,Chemistry,Senior,105.0,8.3,B,Auditory,In-person,Average,Morning,Video,15.0,Medium,72.0,High,Beginner,A
ID_292,21.0,F,Literature,Sophomore,65.0,7.2,D,Reading/Writing,Hybrid,Average,Morning,Audio,13.0,Low,93.0,High,Advanced,D
ID_120,22.0,M,Biology,Freshman,77.0,6.6,F,Auditory,In-person,Slow,Afternoon,Text,13.0,Medium,88.0,Medium,Advanced,A
ID_292,21.0,F,Literature,Sophomore,65.0,7.2,D,Reading/Writing,Hybrid,Average,Morning,Audio,13.0,Low,93.0,High,Advanced,D
ID_18,22.0,F,Mathematics,Freshman,94.0,6.5,F,Kinesthetic,Hybrid,Fast,Evening,Audio,14.0,High,81.0,Low,Beginner,D
ID_34,20.0,M,Chemistry,Sophomore,70.0,6.9,D,Auditory,Hybrid,Slow,Evening,Audio,12.0,High,96.0,Low,Intermediate,A
ID_388,23.0,M,Biology,Senior,115.0,6.0,C,Auditory,Online,Fast,Afternoon,Video,16.0,High,54.0,Medium,Intermediate,F
ID_331,19.0,F,Mathematics,Freshman,84.0,5.3,A,Kinesthetic,Online,Slow,Evening,Interactive,8.0,High,52.0,Medium,Intermediate,C
ID_422,23.0,F,Literature,Freshman,118.0,9.0,A,Kinesthetic,Hybrid,Average,Afternoon,Text,12.0,High,77.0,Medium,Intermediate,A
ID_69,21.0,M,Literature,Junior,86.0,5.7,F,Visual,Hybrid,Slow,Evening,Audio,11.0,Medium,94.0,High,Beginner,F
ID_348,20.0,M,Literature,Junior,115.0,8.9,F,Visual,Online,Fast,Morning,Interactive,8.0,High,78.0,High,Beginner,D
ID_248,21.0,M,Engineering,Junior,96.0,9.0,C,Kinesthetic,Online,Fast,Morning,Interactive,17.0,Medium,67.0,Low,Beginner,A
ID_6,22.0,M,Engineering,Freshman,91.0,6.6,F,Visual,Hybrid,Slow,Morning,Video,18.0,High,75.0,Medium,Advanced,D
ID_40,24.0,M,Chemistry,Sophomore,87.0,7.1,D,Kinesthetic,Online,Average,Evening,Text,14.0,Low,69.0,High,Advanced,B
ID_318,19.0,F,Biology,Junior,61.0,8.6,F,Kinesthetic,Online,Average,Morning,Video,14.0,Medium,67.0,Low,Intermediate,D
ID_447,19.0,F,Chemistry,Senior,67.0,6.8,F,Auditory,In-person,Average,Morning,Text,19.0,Medium,83.0,High,Advanced,A
ID_270,19.0,M,Engineering,Sophomore,79.0,5.8,A,Visual,Hybrid,Average,Morning,Video,11.0,Low,69.0,Medium,Beginner,F
ID_398,21.0,F,Mathematics,Freshman,61.0,8.7,C,Kinesthetic,Hybrid,Slow,Afternoon,Video,14.0,Medium,58.0,Low,Advanced,F
ID_310,18.0,F,Chemistry,Junior,95.0,6.8,F,Kinesthetic,Online,Fast,Afternoon,Text,17.0,Low,84.0,High,Advanced,F
ID_32,18.0,M,Biology,Senior,79.0,8.5,D,Visual,In-person,Slow,Morning,Text,17.0,Low,67.0,Medium,Beginner,D
ID_175,22.0,M,Mathematics,Junior,105.0,7.1,C,Auditory,In-person,Slow,Morning,Interactive,6.0,Low,72.0,Medium,Advanced,F
ID_387,23.0,M,Engineering,Sophomore,103.0,8.7,B,Reading/Writing,Online,Slow,Morning,Audio,6.0,High,54.0,Low,Intermediate,F
ID_30,22.0,F,Engineering,Junior,106.0,6.9,A,Kinesthetic,Online,Slow,Afternoon,Interactive,13.0,Medium,94.0,Medium,Intermediate,D
ID_203,22.0,F,Mathematics,Junior,106.0,6.5,C,Auditory,Hybrid,Average,Evening,Interactive,19.0,Low,60.0,Low,Beginner,B
ID_8,24.0,M,Literature,Sophomore,70.0,7.7,C,Visual,Online,Slow,Morning,Video,19.0,High,70.0,High,Intermediate,C
ID_236,20.0,M,Biology,Sophomore,88.0,7.0,F,Reading/Writing,In-person,Slow,Afternoon,Text,8.0,Medium,91.0,High,Beginner,A
ID_68,21.0,M,Literature,Freshman,75.0,5.5,D,Reading/Writing,Online,Slow,Afternoon,Text,17.0,Low,55.0,Low,Intermediate,C
ID_107,22.0,F,Literature,Junior,119.0,5.9,A,Reading/Writing,Online,Average,Morning,Interactive,15.0,High,93.0,Medium,Intermediate,B
ID_145,18.0,F,Engineering,Junior,91.0,7.1,C,Visual,Online,Fast,Morning,Interactive,11.0,Medium,67.0,High,Intermediate,D
ID_395,22.0,F,Literature,Junior,79.0,5.7,D,Auditory,Online,Average,Afternoon,Audio,17.0,Low,54.0,Medium,Beginner,B
ID_21,23.0,M,Literature,Sophomore,98.0,6.6,A,Auditory,Hybrid,Fast,Evening,Video,6.0,High,92.0,Low,Intermediate,D
ID_233,23.0,M,Literature,Sophomore,95.0,8.9,D,Auditory,In-person,Slow,Morning,Video,14.0,High,77.0,High,Advanced,B
ID_494,19.0,F,Biology,Junior,61.0,6.6,C,Reading/Writing,Online,Average,Afternoon,Text,7.0,Low,83.0,Low,Advanced,F
ID_413,23.0,F,Mathematics,Sophomore,108.0,7.8,A,Auditory,In-person,Fast,Afternoon,Interactive,6.0,Low,50.0,High,Intermediate,C
ID_59,18.0,M,Chemistry,Sophomore,93.0,6.1,C,Reading/Writing,In-person,Slow,Evening,Interactive,9.0,High,77.0,Medium,Advanced,A
ID_290,18.0,F,Chemistry,Freshman,93.0,7.0,C,Visual,In-person,Slow,Morning,Text,46.159308181193666,Low,87.0,High,Beginner,B
ID_361,23.0,M,Biology,Sophomore,88.0,8.2,A,Visual,Hybrid,Slow,Morning,Video,16.0,Low,86.0,High,Intermediate,C
ID_305,20.0,M,Biology,Sophomore,74.0,8.6,B,Visual,In-person,Average,Evening,Video,14.0,High,54.0,Medium,Intermediate,C
ID_128,20.0,M,Biology,Freshman,70.0,7.3,F,Auditory,Hybrid,Fast,Afternoon,Interactive,8.0,Low,80.0,High,Beginner,D
ID_466,41.740729302724915,F,Engineering,Sophomore,69.0,7.4,D,Kinesthetic,Hybrid,Slow,Morning,Text,10.0,Medium,63.0,Medium,Intermediate,F
ID_14,22.0,F,Mathematics,Sophomore,93.0,5.5,C,Visual,In-person,Slow,Evening,Text,16.0,Low,72.0,Medium,Beginner,A
ID_411,23.0,M,Literature,Junior,64.0,6.2,F,Kinesthetic,Hybrid,Slow,Afternoon,Video,13.0,Medium,50.0,Medium,Advanced,C
ID_314,20.0,M,Engineering,Freshman,101.0,8.6,A,Reading/Writing,Hybrid,Slow,Afternoon,Text,19.0,High,80.0,High,Advanced,D
ID_101,23.0,F,Engineering,Senior,79.0,7.5,B,Visual,Online,Average,Evening,Text,5.0,High,50.0,Low,Beginner,D
ID_204,23.0,F,Biology,Junior,118.0,8.5,F,Reading/Writing,Online,Slow,Evening,Video,11.0,Medium,69.0,High,Intermediate,A
